"시점","항목",전국
"2015.03","지수 (2017.11 = 100.0)",92.0
"2015.04","지수 (2017.11 = 100.0)",92.7
"2015.05","지수 (2017.11 = 100.0)",93.3
"2015.06","지수 (2017.11 = 100.0)",93.8
"2015.07","지수 (2017.11 = 100.0)",94.7
"2015.08","지수 (2017.11 = 100.0)",95.4
"2015.09","지수 (2017.11 = 100.0)",96.0
"2015.10","지수 (2017.11 = 100.0)",96.4
"2015.11","지수 (2017.11 = 100.0)",96.4
"2015.12","지수 (2017.11 = 100.0)",95.8
"2016.01","지수 (2017.11 = 100.0)",95.7
"2016.02","지수 (2017.11 = 100.0)",95.8
"2016.03","지수 (2017.11 = 100.0)",95.7
"2016.04","지수 (2017.11 = 100.0)",95.7
"2016.05","지수 (2017.11 = 100.0)",95.7
"2016.06","지수 (2017.11 = 100.0)",96.0
"2016.07","지수 (2017.11 = 100.0)",96.6
"2016.08","지수 (2017.11 = 100.0)",97.2
"2016.09","지수 (2017.11 = 100.0)",98.1
"2016.10","지수 (2017.11 = 100.0)",98.8
"2016.11","지수 (2017.11 = 100.0)",98.9
"2016.12","지수 (2017.11 = 100.0)",98.6
"2017.01","지수 (2017.11 = 100.0)",98.3
"2017.02","지수 (2017.11 = 100.0)",98.5
"2017.03","지수 (2017.11 = 100.0)",98.7
"2017.04","지수 (2017.11 = 100.0)",98.6
"2017.05","지수 (2017.11 = 100.0)",98.9
"2017.06","지수 (2017.11 = 100.0)",99.4
"2017.07","지수 (2017.11 = 100.0)",100.1
"2017.08","지수 (2017.11 = 100.0)",100.2
"2017.09","지수 (2017.11 = 100.0)",100.3
"2017.10","지수 (2017.11 = 100.0)",100.3
"2017.11","지수 (2017.11 = 100.0)",100.0
"2017.12","지수 (2017.11 = 100.0)",99.6
"2018.01","지수 (2017.11 = 100.0)",99.8
"2018.02","지수 (2017.11 = 100.0)",100.1
"2018.03","지수 (2017.11 = 100.0)",100.2
"2018.04","지수 (2017.11 = 100.0)",100.2
"2018.05","지수 (2017.11 = 100.0)",99.9
"2018.06","지수 (2017.11 = 100.0)",99.7
"2018.07","지수 (2017.11 = 100.0)",99.6
"2018.08","지수 (2017.11 = 100.0)",100.8
"2018.09","지수 (2017.11 = 100.0)",102.2
"2018.10","지수 (2017.11 = 100.0)",102.4
"2018.11","지수 (2017.11 = 100.0)",101.6
"2018.12","지수 (2017.11 = 100.0)",100.8
"2019.01","지수 (2017.11 = 100.0)",100.3
"2019.02","지수 (2017.11 = 100.0)",99.9
"2019.03","지수 (2017.11 = 100.0)",99.2
"2019.04","지수 (2017.11 = 100.0)",99.0
"2019.05","지수 (2017.11 = 100.0)",98.8
"2019.06","지수 (2017.11 = 100.0)",99.1
"2019.07","지수 (2017.11 = 100.0)",99.6
"2019.08","지수 (2017.11 = 100.0)",99.9
"2019.09","지수 (2017.11 = 100.0)",100.3
"2019.10","지수 (2017.11 = 100.0)",100.8
"2019.11","지수 (2017.11 = 100.0)",101.7
"2019.12","지수 (2017.11 = 100.0)",102.7
"2020.01","지수 (2017.11 = 100.0)",103.4
"2020.02","지수 (2017.11 = 100.0)",104.7
"2020.03","지수 (2017.11 = 100.0)",105.5
"2020.04","지수 (2017.11 = 100.0)",105.5
"2020.05","지수 (2017.11 = 100.0)",106.3
"2020.06","지수 (2017.11 = 100.0)",108.3
"2020.07","지수 (2017.11 = 100.0)",110.7
"2020.08","지수 (2017.11 = 100.0)",112.0
"2020.09","지수 (2017.11 = 100.0)",112.9
"2020.10","지수 (2017.11 = 100.0)",114.4
"2020.11","지수 (2017.11 = 100.0)",117.0
"2020.12","지수 (2017.11 = 100.0)",119.8
"2021.01","지수 (2017.11 = 100.0)",122.9
"2021.02","지수 (2017.11 = 100.0)",125.1
"2021.03","지수 (2017.11 = 100.0)",126.7
"2021.04","지수 (2017.11 = 100.0)",128.3
"2021.05","지수 (2017.11 = 100.0)",130.5
"2021.06","지수 (2017.11 = 100.0)",133.4
"2021.07","지수 (2017.11 = 100.0)",136.5
"2021.08","지수 (2017.11 = 100.0)",139.7
"2021.09","지수 (2017.11 = 100.0)",142.3
"2021.10","지수 (2017.11 = 100.0)",143.8
"2021.11","지수 (2017.11 = 100.0)",143.0
"2021.12","지수 (2017.11 = 100.0)",141.7
"2022.01","지수 (2017.11 = 100.0)",140.8
"2022.02","지수 (2017.11 = 100.0)",140.6
"2022.03","지수 (2017.11 = 100.0)",141.1
"2022.04","지수 (2017.11 = 100.0)",141.9
"2022.05","지수 (2017.11 = 100.0)",140.6
"2022.06","지수 (2017.11 = 100.0)",140.0
"2022.07","지수 (2017.11 = 100.0)",136.3
"2022.08","지수 (2017.11 = 100.0)",133.7
"2022.09","지수 (2017.11 = 100.0)",130.9
"2022.10","지수 (2017.11 = 100.0)",126.6
"2022.11","지수 (2017.11 = 100.0)",121.3
