"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2010.04",216.8,368.3,158.3,566.7,675.3,458.7,851.9,483.3,490.2,198.6,168.2,272.6,132.4,189.1,183.8,-,300.4,119.9,134.3,148.6,136.2,110.9,118.0,168.0,160.2
"2010.05",220.3,372.3,160.3,588.3,671.4,450.4,872.0,481.0,508.0,199.1,169.5,275.2,133.8,190.5,188.5,-,303.8,121.4,138.6,155.5,139.6,113.6,117.6,171.7,148.7
"2010.06",224.6,378.7,162.4,598.4,722.5,455.2,875.8,491.1,509.8,200.9,172.0,270.0,132.2,194.2,185.6,-,304.9,123.0,139.9,154.1,143.5,116.9,116.7,179.6,165.1
"2010.07",221.9,373.2,161.0,593.9,688.9,453.5,853.1,483.6,503.2,204.2,169.7,272.3,128.4,202.9,186.9,-,301.6,118.8,138.7,149.4,139.9,117.0,119.1,178.2,161.4
"2010.08",227.6,371.4,163.9,599.0,666.4,443.0,882.2,492.2,508.0,206.8,170.0,272.0,135.1,205.2,186.2,-,300.7,120.8,140.4,148.1,138.5,122.3,120.2,179.8,164.1
"2010.09",237.1,372.3,168.0,583.6,645.9,442.4,878.6,477.3,501.0,209.4,171.9,271.8,135.5,204.5,194.7,-,306.2,123.3,140.5,150.7,145.6,121.9,120.7,191.7,167.4
"2010.10",251.4,389.4,174.0,602.2,679.0,452.6,874.7,495.7,531.7,216.4,174.8,275.8,139.8,214.7,196.1,-,315.1,127.7,146.7,153.9,150.0,127.5,124.3,192.9,165.8
"2010.11",276.6,428.9,180.7,644.2,688.3,463.3,927.3,509.1,549.2,228.8,181.3,279.4,142.8,223.4,197.0,-,331.1,130.5,151.0,159.7,149.4,126.7,125.6,200.2,177.2
"2010.12",282.9,433.7,183.3,647.8,681.2,470.4,939.1,517.1,546.3,235.9,182.3,283.7,146.3,227.5,203.9,-,335.6,138.8,153.1,161.3,152.0,130.9,127.6,204.1,167.3
"2011.01",286.6,415.2,189.3,611.7,697.1,474.0,884.4,530.5,535.7,242.8,188.3,283.9,152.1,233.1,208.2,-,335.8,144.3,165.7,169.7,162.3,132.6,131.8,215.9,169.2
"2011.02",271.1,394.5,185.0,584.2,732.9,470.5,858.1,497.0,515.0,244.7,188.1,282.0,153.8,235.4,202.4,-,324.9,138.7,156.0,162.1,157.3,132.4,129.1,215.3,162.9
"2011.03",254.8,377.5,185.6,566.7,695.6,465.9,841.3,505.3,504.3,244.5,186.6,276.7,158.6,233.9,197.7,-,312.5,135.8,156.7,162.5,156.6,130.2,128.3,222.3,179.4
"2011.04",249.6,373.0,186.2,570.9,697.1,463.3,865.1,485.0,515.8,249.6,188.8,272.3,162.3,231.8,204.3,-,308.8,137.9,158.4,160.6,156.8,130.6,128.6,223.4,188.8
"2011.05",255.4,375.7,190.1,573.6,679.2,457.9,865.2,496.5,514.0,252.9,194.6,273.3,167.1,247.5,211.5,-,313.0,138.6,164.3,163.3,162.4,127.3,129.9,217.9,181.8
"2011.06",258.4,378.1,191.1,576.8,661.2,453.5,879.6,469.1,507.9,254.6,197.2,269.9,170.1,245.8,213.6,-,314.8,138.4,169.7,167.0,160.4,136.1,134.7,220.2,187.8
"2011.07",273.2,395.0,192.5,614.5,653.9,458.9,922.7,512.2,522.7,259.2,201.2,270.4,171.4,240.4,223.9,-,318.6,145.9,169.9,173.8,163.6,139.5,136.9,224.4,183.0
"2011.08",272.4,379.7,193.8,571.5,665.6,452.5,856.8,511.7,501.2,264.7,203.7,269.8,172.9,236.4,219.5,-,318.4,150.3,172.9,171.6,166.7,139.9,134.4,231.1,196.5
"2011.09",270.0,374.8,196.0,577.3,712.3,456.9,875.4,517.8,496.5,264.3,209.8,267.3,174.7,237.3,226.7,-,315.5,152.6,172.9,176.2,166.7,142.3,138.6,226.1,193.6
"2011.10",268.4,382.7,199.0,592.3,647.3,460.3,894.9,508.0,501.0,264.4,210.8,268.6,174.4,245.7,229.0,-,316.4,147.0,177.3,178.2,174.6,141.6,141.2,229.6,191.6
"2011.11",265.6,385.9,198.5,588.1,676.9,454.9,873.8,505.4,508.1,265.5,210.6,270.6,177.3,243.0,231.9,-,316.1,150.3,176.9,182.5,175.6,140.5,143.2,226.9,193.9
"2011.12",267.4,397.6,194.1,609.5,683.2,453.0,897.2,516.0,504.6,261.4,214.6,263.8,175.9,244.0,231.7,-,318.0,147.8,178.7,177.7,167.6,138.3,144.1,216.6,190.1
"2012.01",271.2,381.4,200.3,575.7,659.9,447.4,868.5,506.4,497.6,261.5,219.1,271.3,180.9,246.7,239.4,-,316.6,152.0,185.4,190.0,175.3,145.3,146.5,231.8,201.8
